sample_name	age	age_month_selective	age_unit	altitude	altitude_m	anonymized_name	basophils	body_condition	collection_date	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	eosinophils	extracted_dna_avail_now	geo_loc_name	haemoglobin	hct	herd_identity_	host_subject_id	host_taxid	ifng_plate	ifng_run_date	ifngpoke_ng_ml	latitude	latitude_deg	longitude	longitude_deg	lymphocytes	milk	monocytes	physical_specimen_location	physical_specimen_remaining	pregnant	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	rbc	sample_scientific_name	sample_taxid	sample_type	scientific_name	segs	strongyle_epg	tb_status2	title	total_horn_width	wbc
1736.B13b.0709	42	42	months	0	0.0	B13b.0709	1	3.75	2009-07-23 00:00:00	2009-07-23	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B13b	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	3	True	South Africa	10.8	32.3	Lower_Sabie	B13b	37445	33	11/13/12	0.462	-23.82	-23.82	31.44	31.44	57	False	13	CCME	True	early	True				1736	8.33	bovine gut metagenome	506599	stool	bovine gut metagenome	26	200	NEG	Ezenwa_Cape_Buffalo	59.5	5.1
1736.B13b.1109	45	45	months	0	0.0	B13b.1109	0	2.25	2009-11-03 00:00:00	2009-11-03	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B13b	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	3	True	South Africa	10.5	34.9	Other	B13b	37445	5	10/24/12	0.674	-23.82	-23.82	31.44	31.44	7	False	64	CCME	True	late	True	Host-associated	Animal	Animal distal gut	1736	8.22	bovine gut metagenome	506599	stool	bovine gut metagenome	26	200	NEG	Ezenwa_Cape_Buffalo	59.5	5.7
1736.B13b.1110	58	58	months	0	0.0	B13b.1110	0	2.25	2010-11-20 00:00:00	2010-11-20	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B13b	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	17	True	South Africa	12.4	39.5	Croc_Bridge	B13b	37445	13	10/27/12	0.526	-23.82	-23.82	31.44	31.44	8	False	34	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	8.83	bovine gut metagenome	506599	stool	bovine gut metagenome	41	50	NEG	Ezenwa_Cape_Buffalo	64.5	6.9
1736.B13b.1211	71	71	months	0	0.0	B13b.1211	0	3	2011-12-14 00:00:00	2011-12-14	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B13b	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	8	True	South Africa	9.5	32.7	Croc_Bridge	B13b	37445	23	11/7/12	0.571	-23.82	-23.82	31.44	31.44	27	False	36	CCME	True	late	True	Host-associated	Animal	Animal distal gut	1736	6.9	bovine gut metagenome	506599	stool	bovine gut metagenome	29	0	POS	Ezenwa_Cape_Buffalo	69.5	10.8
1736.B15.0610	54	54	months	0	0.0	B15.0610	0	2.75	2010-06-11 00:00:00	2010-06-11	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B15	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	6	True	South Africa	16.5	56	Lower_Sabie	B15	37445	1	10/18/12	2.534	-23.82	-23.82	31.44	31.44	31	True	35	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	15.23	bovine gut metagenome	506599	stool	bovine gut metagenome	28	350	POS	Ezenwa_Cape_Buffalo	62.5	7.6
1736.B15.0611	66	66	months	0	0.0	B15.0611	0	2.75	2011-06-07 00:00:00	2011-06-07	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B15	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	7	True	South Africa	9.6	29.4	Lower_Sabie	B15	37445	20	11/5/12	4.607	-23.82	-23.82	31.44	31.44	38	True	17	CCME	True	no	True				1736	7.31	bovine gut metagenome	506599	stool	bovine gut metagenome	38	100	POS	Ezenwa_Cape_Buffalo	64	8.1
1736.B15.0709	43	43	months	0	0.0	B15.0709	1	4.5	2009-07-17 00:00:00	2009-07-17	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B15	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	8	True	South Africa	11.5	33.8	Lower_Sabie	B15	37445	33	11/13/12	1.312	-23.82	-23.82	31.44	31.44	75	False	6	CCME	True	mid	True	Host-associated	Animal	Animal distal gut	1736	9.63	bovine gut metagenome	506599	stool	bovine gut metagenome	10	50	POS	Ezenwa_Cape_Buffalo	65	6.6
1736.B15.1109	47	47	months	0	0.0	B15.1109	0	3.25	2009-11-10 00:00:00	2009-11-10	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B15	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	8	True	South Africa	11	37.3	Lower_Sabie	B15	37445	5	10/24/12	2.926	-23.82	-23.82	31.44	31.44	29	False	34	CCME	True	late	True	Host-associated	Animal	Animal distal gut	1736	9.16	bovine gut metagenome	506599	stool	bovine gut metagenome	29	0	POS	Ezenwa_Cape_Buffalo	62	5.6
1736.B15.1110	59	59	months	0	0.0	B15.1110	0	2	2010-11-22 00:00:00	2010-11-22	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B15	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	6	True	South Africa	8.5	26.1	Lower_Sabie	B15	37445	13	10/27/12	2.302	-23.82	-23.82	31.44	31.44	54	True	13	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	6.15	bovine gut metagenome	506599	stool	bovine gut metagenome	27	0	POS	Ezenwa_Cape_Buffalo	63.5	6.2
1736.B15.1111	71	71	months	0	0.0	B15.1111	0	2	2011-11-15 00:00:00	2011-11-15	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B15	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	6	True	South Africa	8.2	26.7	Lower_Sabie	B15	37445	23	11/7/12	2.622	-23.82	-23.82	31.44	31.44	52	True	9	CCME	True	early	True	Host-associated	Animal	Animal distal gut	1736	6.55	bovine gut metagenome	506599	stool	bovine gut metagenome	33	0		Ezenwa_Cape_Buffalo	64	5.4
