sample_name	age	age_group	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	larval_tetracycline	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_name_in_tube	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title	village
1064.W.CV252	Not applicable	larvae	days	0	0.0	W.CV252	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV252	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	275	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV253	Not applicable	larvae	days	0	0.0	W.CV253	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV253	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	276	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV254	Not applicable	larvae	days	0	0.0	W.CV254	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV254	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	277	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV255	Not applicable	larvae	days	0	0.0	W.CV255	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV255	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	278	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV256	Not applicable	larvae	days	0	0.0	W.CV256	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV256	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	279	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV257	Not applicable	pupae	days	0	0.0	W.CV257	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV257	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	280	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV258	Not applicable	pupae	days	0	0.0	W.CV258	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV258	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	281	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV259	Not applicable	pupae	days	0	0.0	W.CV259	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV259	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	282	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV260	Not applicable	pupae	days	0	0.0	W.CV260	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV260	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	283	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV261	Not applicable	pupae	days	0	0.0	W.CV261	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV261	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	284	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV262	Not applicable	pupae	days	0	0.0	W.CV262	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV262	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	285	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
