sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	cow_bred	crude_protein	days_in_milk	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	feed_dry_matter	feed_intake	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	milk_fat	milk_production	milk_solids_protein	monensin_level	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scentific_name	scientific_name	somatic_cell_count	somatic_cell_count_linear	title
1621.C8866	0	0.0	C8866	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	7.01	46	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	41.3	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8866	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	80	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.C8873	0	0.0	C8873	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	6.27	51	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	41.2	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8873	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	91	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.C8876	0	0.0	C8876	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	7.7	38	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	45.4	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8876	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	83	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8783	0	0.0	D8783	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22	GAZ:United States of America	n	7.37	55	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	43.4	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8783	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	92	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8810	0	0.0	D8810	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22 00:00:00	GAZ:United States of America	n	6.32	46	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	37.2	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8810	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	63	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8817	0	0.0	D8817	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22	GAZ:United States of America	n	7.46	41	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	43.9	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8817	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	71	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8827	0	0.0	D8827	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22	GAZ:United States of America	n	7.44	53	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	43.8	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8827	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	84	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8839	0	0.0	D8839	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22	GAZ:United States of America	n	6.06	48	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	35.6	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8839	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	66	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8866	0	0.0	D8866	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22 00:00:00	GAZ:United States of America	n	7.2	47	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	42.4	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8866	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	62	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8873	0	0.0	D8873	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22 00:00:00	GAZ:United States of America	n	6.06	52	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	45.6	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8873	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	89	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.D8876	0	0.0	D8876	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-22 00:00:00	GAZ:United States of America	n	7.69	39	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	45.3	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8876	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	77	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8783	0	0.0	E8783	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	7.57	62	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	44.5	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8783	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	98	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8810	0	0.0	E8810	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	6.67	53	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	39.2	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8810	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	84	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8817	0	0.0	E8817	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	8.08	48	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	47.6	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8817	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	81	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8827	0	0.0	E8827	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	6.94	60	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	40.9	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8827	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	76	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8839	0	0.0	E8839	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	6.87	55	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	40.4	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8839	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	73	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8866	0	0.0	E8866	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	6.59	54	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	38.8	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8866	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	78	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8873	0	0.0	E8873	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	6.87	59	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	45.6	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8873	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	84	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.E8876	0	0.0	E8876	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-01 00:00:00	GAZ:United States of America	n	7.9	46	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	44.8	46.5	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8876	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	76	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8783	0	0.0	F8783	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03	GAZ:United States of America	y	7.27	64	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	42.8	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8783	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	95	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8810	0	0.0	F8810	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03	GAZ:United States of America	n	6.68	55	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	39.3	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8810	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	77	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8817	0	0.0	F8817	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03 00:00:00	GAZ:United States of America	n	8.23	50	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	48.4	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8817	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	80	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8827	0	0.0	F8827	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03 00:00:00	GAZ:United States of America	y	6.26	62	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	36.8	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8827	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	88	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8839	0	0.0	F8839	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03	GAZ:United States of America	n	6.21	57	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	36.6	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8839	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	63	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8866	0	0.0	F8866	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03 00:00:00	GAZ:United States of America	n	7.03	56	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	41.4	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8866	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	79	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8873	0	0.0	F8873	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03 00:00:00	GAZ:United States of America	pregnant	6.21	61	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	47.2	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8873	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	78	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.F8876	0	0.0	F8876	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-03 00:00:00	GAZ:United States of America	n	7.33	48	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	43.1	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8876	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	77	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.G8783	0	0.0	G8783	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-08 00:00:00	GAZ:United States of America	n	7.22	69	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	42.5	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8783	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	101	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.G8810	0	0.0	G8810	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-08 00:00:00	GAZ:United States of America	n	6.34	60	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	37.3	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8810	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	72	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.G8817	0	0.0	G8817	UBERON:feces	UBERON:feces	UBERON:feces	2011-03-08 00:00:00	GAZ:United States of America	n	8.83	55	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.6	52	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8817	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	71	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
